16,Wales,N/A,300,,,,,,,,,,
17,Senegal,300 (3.030303%),300,,,,,,,,,,
18,Iran,300 (3.030303%),300,,,,,,,,,,
19,Peru,N/A,300,,,,,,,,,,
20,Japan,300 (3.030303%),300,,,,,,,,,,
21,Morocco,300 (3.030303%),300,,,,,,,,,,
22,Serbia,300 (3.030303%),300,,,,,,,,,,
23,Poland,300 (3.030303%),300,,,,,,,,,,
24,Ukraine,300 (3.030303%),300,,,,,,,,,,
25,South Korea,300 (3.030303%),300,,,,,,,,,,
26,Costa Rica,300 (3.030303%),300,,,,,,,,,,
27,Tunisia,300 (3.030303%),300,,,,,,,,,,
28,Cameroon,300 (3.030303%),300,,,,,,,,,,
29,Canada,300 (3.030303%),300,,,,,,,,,,
30,Scotland,N/A,300,,,,,,,,,,
31,Australia,N/A,300,,,,,,,,,,
32,Ecuador,300 (3.030303%),300,,,,,,,,,,
33,Saudi Arabia,300 (3.030303%),300,,,,,,,,,,
34,Qatar,300 (3.030303%),300,,,,,,,,,,
35,Ghana,300 (3.030303%),300,,,,,,,,,,
36,United Arab Emirates,N/A,300,,,,,,,,,,
37,New Zealand,N/A,300,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 6,,,,,,,,,,,
,Background,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond,33 (0.333%),1,,,,,,,,,,
2,Confetti,165 (1.667%),5,,,,,,,,,,
3,Gold,330 (3.333%),10,,,,,,,,,,
4,Silver,825 (8.333%),25,,,,,,,,,,
5,Bronze,"1,650 (16.667%)",50,,,,,,,,,,
6,White,"6,897 (69.667%)",209,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 5,,,,,,,,,,,
,Eye Gear,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Steve McQueen Aviators,99 (1%),3,,,,,,,,,,
2,Laser Beamz,495 (5%),15,,,,,,,,,,
3,Terminator Eye,990 (10%),30,,,,,,,,,,
4,Bitcoin Eyez,"1,485 (15%)",45,,,,,,,,,,
5,None,"6,831",207,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 20,,See this site for reference,,,,,,,,,
,Hairstyle,,,https://hairstylecamp.com/soccer-player-haircuts-you-can-copy/,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Pogba,33 (0.333%),1,,,,,,,,,,
2,Aubameyeng,66 (0.667%),2,,,,,,,,,,
3,CR7,99 (1%),3,,,,,,,,,,
4,Ibrahimovic,132 (1.333%),4,,,,,,,,,,
5,Hamsik,165 (1.667%),5,,,,,,,,,,
6,McKennie,198 (2%),6,,,,,,,,,,
7,Buffon,231 (2.333%),7,,,,,,,,,,
8,Gareth Bale,264 (2.667%),8,,,,,,,,,,
9,Modric,297 (3%),9,,,,,,,,,,
10,David Villa,330 (3.333%),10,,,,,,,,,,
11,Smalling,495 (5%),15,,,,,,,,,,
12,David Luiz,528 (5.333%),16,,,,,,,,,,
13,Bernardeschi,561 (5.667%),17,,,,,,,,,,
14,Olivier Giroud,594 (6%),18,,,,,,,,,,
15,Messi,627 (6.333%),19,,,,,,,,,,
16,Reus,660 (6.667%),20,,,,,,,,,,
17,Dybala,825 (8.333%),25,,,,,,,,,,
18,de Bruyne,990 (10%),30,,,,,,,,,,
19,Alexis Sanchez,"1,155 (11.667%)",35,,,,,,,,,,
20,None,"1,650 (16.667%)",50,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 7,,,,,,,,,,,
,Headgear,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond Crown,33 (0.333%),1,,,,,,,,,,
2,Gold Crown,99 (1%),3,,,,,,,,,,
3,World Cup Trophy Beanie,330 (3.333%),10,,,,,,,,,,
4,Beret,825 (8.333%),25,,,,,,,,,,
5,Qatar 2022 Bandana,990 (10%),30,,,,,,,,,,
6,WC Ballerz Cap ,"1,155 (11.667%)",35,,,,,,,,,,
7,None,"6,468 (65.333%)",196,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 9,,,,,,,,,,,
,Shorts,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond,33 (0.333%),1,,,,,,,,,,
2,Gold,99 (1%),3,,,,,,,,,,
3,Confetti,165 (1.667%),5,,,,,,,,,,
4,Futuristic w/ Wingz ,231 (2.333%),7,,,,,,,,,,
5,Kilt,330 (3.333%),10,,,,,,,,,,
6,Mummy Wrap,396 (4%),12,,,,,,,,,,
7,Crypto Themed,660 (6.667%),20,,,,,,,,,,
8,Bloodied,"1,320 (13.333%)",40,,,,,,,,,,
9,WC Ballerz,"6,666 (67.333%)",202,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 9,,,,,,,,,,,
,Ball,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond,33 (0.333%),1,,,,,,,,,,
2,Gold,99 (1%),3,,,,,,,,,,
3,Flamez,165 (1.667%),5,,,,,,,,,,
4,Futuristic w/ Wingz,330 (3.333%),10,,,,,,,,,,
5,Official WC Qatar 2022,"2,673 (27%)",81,,,,,,,,,,
6,WC Ballerz,"6,600 (66.667%)",200,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 8,,,,,,,,,,,
,Boots/Cleats,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond,33 (0.333%),1,,,,,,,,,,
2,Gold,99 (1%),3,,,,,,,,,,
3,Flamez,165 (1.667%),5,,,,,,,,,,
4,Futuristic w/ Wingz,330 (3.333%),10,,,,,,,,,,
5,adidas Predator Freak+,825 (8.333%),25,,,,,,,,,,
6,Nike Mercurial Superfly 8,825 (8.333%),25,,,,,,,,,,
7,Neon,"1,650 (16.667%)",50,,,,,,,,,,
8,WC Ballerz,"5,973 (60.333%)",181,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 8,,,,,,,,,,,
,Shin Guards & Socks,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond,33 (0.333%),1,,,,,,,,,,
2,Gold,99 (1%),3,,,,,,,,,,
3,Flamez,165 (1.667%),5,,,,,,,,,,
4,Futuristic w/ Wingz,330 (3.333%),10,,,,,,,,,,
5,Mummy Wrap,396 (4%),12,,,,,,,,,,
6,Crypto Themed,660 (6.667%),20,,,,,,,,,,
7,Bloodied,"1,320 (13.333%)",40,,,,,,,,,,
8,WC Ballerz,"6,897 (69.667%)",209,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 7,,,,,,,,,,,
,Neck,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond Chain,33 (0.333%),1,,,,,,,,,,
2,Gold Chain,99 (1%),3,,,,,,,,,,
3,Jeweled Chain,165 (1.667%),5,,,,,,,,,,
4,Cross Chain,330 (3.333%),10,,,,,,,,,,
5,World Cup Trophy Tattoo,990 (10%),30,,,,,,,,,,
6,Chest Hair,"1,650 (16.667%)",50,,,,,,,,,,
7,None,"6,633 (67%)",201,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 7,,,,,,,,,,,
,Left Arm,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Gold Captain's Band,33 (0.333%),1,,,,,,,,,,
2,Gold Bangle,99 (1%),3,,,,,,,,,,
3,Silver Bangle,165 (1.667%),5,,,,,,,,,,
4,Flamez Arm Sleeve,330 (3.333%),10,,,,,,,,,,
5,Crypto Arm Sleeve,594 (6%),18,,,,,,,,,,
6,Sweat Band,825 (8.333%),25,,,,,,,,,,
7,None,"7,854 (79.333%)",238,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 7,,,,,,,,,,,
,Right Arm,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond Arm Sleeve,33 (0.333%),1,,,,,,,,,,
2,Gold Arm Sleeve,99 (1%),3,,,,,,,,,,
3,Confetti Arm Sleeve,165 (1.667%),5,,,,,,,,,,
4,Mummy Wrap,330 (3.333%),10,,,,,,,,,,
5,Studded Arm Sleeve,594 (6%),18,,,,,,,,,,
6,Qatar 2022 Arm Sleeve,825 (8.333%),30,,,,,,,,,,
7,None,"7,854 (79.333%)",233,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 7,,,,,,,,,,,
,Tattoo ,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,World Cup Trophy - Neck,165 (1.667%),5,,,,,,,,,,
2,Right Full Sleeve,231 (2.333%),10,,,,,,,,,,
3,Left Full Sleeve,330 (3.333%),10,,,,,,,,,,
4,Right Forearm,825 (8.333%),25,,,,,,,,,,
5,Left Forearm,825 (8.333%),25,,,,,,,,,,
6,WC Ballerz Logo - Upper Arm,"3,300 (33.333%)",100,,,,,,,,,,
7,None,"4,125 (41.667%)",125,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 4,,,,,,,,,,,
,Jersey Style,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Half Tucked - Left,"1,320 (13.333%)",40,,,,,,,,,,
2,Half Tucked - Right,"1,320 (13.333%)",40,,,,,,,,,,
3,Untucked,"2,640 (26.667%)",80,,,,,,,,,,
4,Tucked,"4,620 (46.667%)",140,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 20,,,,,,,,,,,
,Jersey Number,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,2022,33 (0.333%),1,,,,,,,,,,
2,777,33 (0.333%),1,,,,,,,,,,
3,10,99 (1%),3,,,,,,,,,,
4,9,99 (1%),3,,,,,,,,,,
5,7,99 (1%),3,,,,,,,,,,
6,23,132 (1.333%),4,,,,,,,,,,
7,69,165 (1.667%),5,,,,,,,,,,
8,1,165 (1.667%),5,,,,,,,,,,
9,0,165 (1.667%),5,,,,,,,,,,
10,18,231 (2.333%),7,,,,,,,,,,
11,14,231 (2.333%),7,,,,,,,,,,
12,21,231 (2.333%),7,,,,,,,,,,
13,52,231 (2.333%),7,,,,,,,,,,
14,25,231 (2.333%),7,,,,,,,,,,
15,12,231 (2.333%),7,,,,,,,,,,
16,17,231 (2.333%),7,,,,,,,,,,
17,16,231 (2.333%),7,,,,,,,,,,
18,3,231 (2.333%),7,,,,,,,,,,
19,13,231 (2.333%),7,,,,,,,,,,
20,22,"7,326 (74%)",200,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 17,,Note: Refer to this link for style guide,,,,,,,,,
,Facial Hair,,,https://www.gq.com/story/cdc-facial-hairstyles,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Golden Goatee,33 (0.333%),1,,,,,,,,,,
2,Fu Manchu,99 (1%),3,,,,,,,,,,
3,Verdi,99 (1%),3,,,,,,,,,,
4,Villain,99 (1%),3,,,,,,,,,,
5,Long Full Beard,165 (1.667%),5,,,,,,,,,,
6,Imperial,165 (1.667%),5,,,,,,,,,,
7,Dali,165 (1.667%),5,,,,,,,,,,
8,Horseshoe,231 (2.333%),7,,,,,,,,,,
9,Zorro,231 (2.333%),7,,,,,,,,,,
10,Handlebar,231 (2.333%),7,,,,,,,,,,
11,Garibaldi,231 (2.333%),10,,,,,,,,,,
12,Full Beard,495 (5%),15,,,,,,,,,,
13,Goatee,660 (6.667%),20,,,,,,,,,,
14,Chin Curtain,825 (8.333%),25,,,,,,,,,,
15,Soul Patch,990 (10%),30,,,,,,,,,,
16,Stubble,"1,980 (20%)",60,,,,,,,,,,
17,None,"3,168 (32%)",94,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 17,,,,,,,,,,,
,Skins,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,174,,,,,,,,,
,,,,,,,,,,,,,
1,Golden,33 (0.333%),1,,,,,,,,,,
2,Zombie,165 (1.667%),5,,,,,,,,,,
3,Tan,"3,234 (32.667%)",98,,,,,,,,,,
4,Brown,"3,234 (32.667%)",98,,,,,,,,,,
5,White,"3,234 (32.667%)",98,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 17,,,,,,,,,,,
,Ground/Field Style,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Confetti,33 (0.333%),1,,,,,,,,,,
3,World Cup 2022 Logo,"3,267 (33%)",99,,,,,,,,,,
4,WC Ballerz Logo,"6,600 (66.667%)",200,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 17,,,,,,,,,,,
,Facial Expression,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,GOAAAAALLLL!,165 (1.667%),5,,,,,,,,,,
2,Smirk,"3,300 (33.333%)",100,,,,,,,,,,
3,Serious,"6,435 (65%)",195,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 16,,,,,,,,,,,
,Props,,,,,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Diamond World Cup Trophy,33 (0.333%),1,,,,,,,,,,
2,World Cup Trophy,33 (0.333%),1,,,,,,,,,,
3,Gold Medal,33 (0.333%),1,,,,,,,,,,
4,Gold Blow Horn,33 (0.333%),1,,,,,,,,,,
5,Gold Fan Finger,33 (0.333%),1,,,,,,,,,,
6,Gold Rally Towel,33 (0.333%),1,,,,,,,,,,
7,Gold Pom Pom Gloves,33 (0.333%),1,,,,,,,,,,
8,Silver Medal,66 (0.667%),2,,,,,,,,,,
9,Bronze Medal,99 (1%),3,,,,,,,,,,
10,Colored Pom Pom Gloves,165 (1.667%),5,,,,,,,,,,
11,Colored Blow Horn,165 (1.667%),5,,,,,,,,,,
12,Fan Finger,231 (2.333%),10,,,,,,,,,,
13,Rally Towel,231 (2.333%),10,,,,,,,,,,
14,World Cup Flag,825 (8.333%),25,,,,,,,,,,
15,WC Ballerz Flag,"1,650 (16.667%)",50,,,,,,,,,,
16,None,"6,039 (61%)",183,,,,,,,,,,
